rna_name	rna_ID	rna_type
bpRNA_CRW_1	1	16S
bpRNA_CRW_2	2	16S
bpRNA_CRW_3	3	16S
bpRNA_CRW_4	4	16S
bpRNA_CRW_5	5	16S
bpRNA_CRW_6	6	16S
bpRNA_CRW_7	7	16S
bpRNA_CRW_8	8	16S
bpRNA_CRW_9	9	16S
bpRNA_CRW_10	10	16S
bpRNA_CRW_11	11	16S
bpRNA_CRW_12	12	16S
bpRNA_CRW_13	13	16S
bpRNA_CRW_14	14	16S
bpRNA_CRW_15	15	16S
bpRNA_CRW_16	16	16S
bpRNA_CRW_17	17	16S
bpRNA_CRW_18	18	16S
bpRNA_CRW_19	19	16S
bpRNA_CRW_20	20	16S
bpRNA_CRW_21	21	16S
bpRNA_CRW_22	22	16S
bpRNA_CRW_23	23	16S
bpRNA_CRW_24	24	16S
bpRNA_CRW_25	25	16S
bpRNA_CRW_26	26	16S
bpRNA_CRW_27	27	16S
bpRNA_CRW_28	28	16S
bpRNA_CRW_29	29	16S
bpRNA_CRW_30	30	16S
bpRNA_CRW_31	31	16S
bpRNA_CRW_32	32	16S
bpRNA_CRW_33	33	16S
bpRNA_CRW_34	34	16S
bpRNA_CRW_35	35	16S
bpRNA_CRW_36	36	16S
bpRNA_CRW_37	37	16S
bpRNA_CRW_38	38	16S
bpRNA_CRW_39	39	16S
bpRNA_CRW_40	40	16S
bpRNA_CRW_41	41	16S
bpRNA_CRW_42	42	16S
bpRNA_CRW_43	43	16S
bpRNA_CRW_44	44	16S
bpRNA_CRW_45	45	16S
bpRNA_CRW_46	46	16S
bpRNA_CRW_47	47	16S
bpRNA_CRW_48	48	16S
bpRNA_CRW_49	49	16S
bpRNA_CRW_50	50	16S
bpRNA_CRW_51	51	16S
bpRNA_CRW_52	52	16S
bpRNA_CRW_53	53	16S
bpRNA_CRW_54	54	16S
bpRNA_CRW_55	55	16S
bpRNA_CRW_56	56	16S
bpRNA_CRW_57	57	16S
bpRNA_CRW_58	58	16S
bpRNA_CRW_59	59	16S
bpRNA_CRW_60	60	16S
bpRNA_CRW_61	61	16S
bpRNA_CRW_62	62	16S
bpRNA_CRW_63	63	16S
bpRNA_CRW_64	64	16S
bpRNA_CRW_65	65	16S
bpRNA_CRW_66	66	16S
bpRNA_CRW_67	67	16S
bpRNA_CRW_68	68	16S
bpRNA_CRW_69	69	16S
bpRNA_CRW_70	70	16S
bpRNA_CRW_71	71	16S
bpRNA_CRW_72	72	16S
bpRNA_CRW_73	73	16S
bpRNA_CRW_74	74	16S
bpRNA_CRW_75	75	16S
bpRNA_CRW_76	76	16S
bpRNA_CRW_77	77	16S
bpRNA_CRW_78	78	16S
bpRNA_CRW_79	79	16S
bpRNA_CRW_80	80	16S
bpRNA_CRW_81	81	16S
bpRNA_CRW_82	82	16S
bpRNA_CRW_83	83	16S
bpRNA_CRW_84	84	16S
bpRNA_CRW_85	85	16S
bpRNA_CRW_86	86	16S
bpRNA_CRW_87	87	16S
bpRNA_CRW_88	88	16S
bpRNA_CRW_89	89	16S
bpRNA_CRW_90	90	16S
bpRNA_CRW_91	91	16S
bpRNA_CRW_92	92	16S
bpRNA_CRW_93	93	16S
bpRNA_CRW_94	94	16S
bpRNA_CRW_95	95	16S
bpRNA_CRW_96	96	16S
bpRNA_CRW_97	97	16S
bpRNA_CRW_98	98	16S
bpRNA_CRW_99	99	16S
bpRNA_CRW_100	100	16S
bpRNA_CRW_101	101	16S
bpRNA_CRW_102	102	16S
bpRNA_CRW_103	103	16S
bpRNA_CRW_104	104	16S
bpRNA_CRW_105	105	16S
bpRNA_CRW_106	106	16S
bpRNA_CRW_107	107	16S
bpRNA_CRW_108	108	16S
bpRNA_CRW_109	109	16S
bpRNA_CRW_110	110	16S
bpRNA_CRW_111	111	16S
bpRNA_CRW_112	112	16S
bpRNA_CRW_113	113	16S
bpRNA_CRW_114	114	16S
bpRNA_CRW_115	115	16S
bpRNA_CRW_116	116	16S
bpRNA_CRW_117	117	16S
bpRNA_CRW_118	118	16S
bpRNA_CRW_119	119	16S
bpRNA_CRW_120	120	16S
bpRNA_CRW_121	121	16S
bpRNA_CRW_122	122	16S
bpRNA_CRW_123	123	16S
bpRNA_CRW_124	124	16S
bpRNA_CRW_125	125	16S
bpRNA_CRW_126	126	16S
bpRNA_CRW_127	127	16S
bpRNA_CRW_128	128	16S
bpRNA_CRW_129	129	16S
bpRNA_CRW_130	130	16S
bpRNA_CRW_131	131	16S
bpRNA_CRW_132	132	16S
bpRNA_CRW_133	133	16S
bpRNA_CRW_134	134	16S
bpRNA_CRW_135	135	16S
bpRNA_CRW_136	136	16S
bpRNA_CRW_137	137	16S
bpRNA_CRW_138	138	16S
bpRNA_CRW_139	139	16S
bpRNA_CRW_140	140	16S
bpRNA_CRW_141	141	16S
bpRNA_CRW_142	142	16S
bpRNA_CRW_143	143	16S
bpRNA_CRW_144	144	16S
bpRNA_CRW_145	145	16S
bpRNA_CRW_146	146	16S
bpRNA_CRW_147	147	16S
bpRNA_CRW_148	148	16S
bpRNA_CRW_149	149	16S
bpRNA_CRW_150	150	16S
bpRNA_CRW_151	151	16S
bpRNA_CRW_152	152	16S
bpRNA_CRW_153	153	16S
bpRNA_CRW_154	154	16S
bpRNA_CRW_155	155	16S
bpRNA_CRW_156	156	16S
bpRNA_CRW_157	157	16S
bpRNA_CRW_158	158	16S
bpRNA_CRW_159	159	16S
bpRNA_CRW_160	160	16S
bpRNA_CRW_161	161	16S
bpRNA_CRW_162	162	16S
bpRNA_CRW_163	163	16S
bpRNA_CRW_164	164	16S
bpRNA_CRW_165	165	16S
bpRNA_CRW_166	166	16S
bpRNA_CRW_167	167	16S
bpRNA_CRW_168	168	16S
bpRNA_CRW_169	169	16S
bpRNA_CRW_170	170	16S
bpRNA_CRW_171	171	16S
bpRNA_CRW_172	172	16S
bpRNA_CRW_173	173	16S
bpRNA_CRW_174	174	16S
bpRNA_CRW_175	175	16S
bpRNA_CRW_176	176	16S
bpRNA_CRW_177	177	16S
bpRNA_CRW_178	178	16S
bpRNA_CRW_179	179	16S
bpRNA_CRW_180	180	16S
bpRNA_CRW_181	181	16S
bpRNA_CRW_182	182	16S
bpRNA_CRW_183	183	16S
bpRNA_CRW_184	184	16S
bpRNA_CRW_185	185	16S
bpRNA_CRW_186	186	16S
bpRNA_CRW_187	187	16S
bpRNA_CRW_188	188	16S
bpRNA_CRW_189	189	16S
bpRNA_CRW_190	190	16S
bpRNA_CRW_191	191	16S
bpRNA_CRW_192	192	16S
bpRNA_CRW_193	193	16S
bpRNA_CRW_194	194	16S
bpRNA_CRW_195	195	16S
bpRNA_CRW_196	196	16S
bpRNA_CRW_197	197	16S
bpRNA_CRW_198	198	16S
bpRNA_CRW_199	199	16S
bpRNA_CRW_200	200	16S
bpRNA_CRW_201	201	16S
bpRNA_CRW_202	202	16S
bpRNA_CRW_203	203	16S
bpRNA_CRW_204	204	16S
bpRNA_CRW_205	205	16S
bpRNA_CRW_206	206	16S
bpRNA_CRW_207	207	16S
bpRNA_CRW_208	208	16S
bpRNA_CRW_209	209	16S
bpRNA_CRW_210	210	16S
bpRNA_CRW_211	211	16S
bpRNA_CRW_212	212	16S
bpRNA_CRW_213	213	16S
bpRNA_CRW_214	214	16S
bpRNA_CRW_215	215	16S
bpRNA_CRW_216	216	16S
bpRNA_CRW_217	217	16S
bpRNA_CRW_218	218	16S
bpRNA_CRW_219	219	16S
bpRNA_CRW_220	220	16S
bpRNA_CRW_221	221	16S
bpRNA_CRW_222	222	16S
bpRNA_CRW_223	223	16S
bpRNA_CRW_224	224	16S
bpRNA_CRW_225	225	16S
bpRNA_CRW_226	226	16S
bpRNA_CRW_227	227	16S
bpRNA_CRW_228	228	16S
bpRNA_CRW_229	229	16S
bpRNA_CRW_230	230	16S
bpRNA_CRW_231	231	16S
bpRNA_CRW_232	232	16S
bpRNA_CRW_233	233	16S
bpRNA_CRW_234	234	16S
bpRNA_CRW_235	235	16S
bpRNA_CRW_236	236	16S
bpRNA_CRW_237	237	16S
bpRNA_CRW_238	238	16S
bpRNA_CRW_239	239	16S
bpRNA_CRW_240	240	16S
bpRNA_CRW_241	241	16S
bpRNA_CRW_242	242	16S
bpRNA_CRW_243	243	16S
bpRNA_CRW_244	244	16S
bpRNA_CRW_245	245	16S
bpRNA_CRW_246	246	16S
bpRNA_CRW_247	247	16S
bpRNA_CRW_248	248	16S
bpRNA_CRW_249	249	16S
bpRNA_CRW_250	250	16S
bpRNA_CRW_251	251	16S
bpRNA_CRW_252	252	16S
bpRNA_CRW_253	253	16S
bpRNA_CRW_254	254	16S
bpRNA_CRW_255	255	16S
bpRNA_CRW_256	256	16S
bpRNA_CRW_257	257	16S
bpRNA_CRW_258	258	16S
bpRNA_CRW_259	259	16S
bpRNA_CRW_260	260	16S
bpRNA_CRW_261	261	16S
bpRNA_CRW_262	262	16S
bpRNA_CRW_263	263	16S
bpRNA_CRW_264	264	16S
bpRNA_CRW_265	265	16S
bpRNA_CRW_266	266	16S
bpRNA_CRW_267	267	16S
bpRNA_CRW_268	268	16S
bpRNA_CRW_269	269	16S
bpRNA_CRW_270	270	16S
bpRNA_CRW_271	271	16S
bpRNA_CRW_272	272	16S
bpRNA_CRW_273	273	16S
bpRNA_CRW_274	274	16S
bpRNA_CRW_275	275	16S
bpRNA_CRW_276	276	16S
bpRNA_CRW_277	277	16S
bpRNA_CRW_278	278	16S
bpRNA_CRW_279	279	16S
bpRNA_CRW_280	280	16S
bpRNA_CRW_281	281	16S
bpRNA_CRW_282	282	16S
bpRNA_CRW_283	283	16S
bpRNA_CRW_284	284	16S
bpRNA_CRW_285	285	16S
bpRNA_CRW_286	286	16S
bpRNA_CRW_287	287	16S
bpRNA_CRW_288	288	16S
bpRNA_CRW_289	289	16S
bpRNA_CRW_290	290	16S
bpRNA_CRW_291	291	16S
bpRNA_CRW_292	292	16S
bpRNA_CRW_293	293	16S
bpRNA_CRW_294	294	16S
bpRNA_CRW_295	295	16S
bpRNA_CRW_296	296	16S
bpRNA_CRW_297	297	16S
bpRNA_CRW_298	298	16S
bpRNA_CRW_299	299	16S
bpRNA_CRW_300	300	16S
bpRNA_CRW_301	301	16S
bpRNA_CRW_302	302	16S
bpRNA_CRW_303	303	16S
bpRNA_CRW_304	304	16S
bpRNA_CRW_305	305	16S
bpRNA_CRW_306	306	16S
bpRNA_CRW_307	307	16S
bpRNA_CRW_308	308	16S
bpRNA_CRW_309	309	16S
bpRNA_CRW_310	310	16S
bpRNA_CRW_311	311	16S
bpRNA_CRW_312	312	16S
bpRNA_CRW_313	313	16S
bpRNA_CRW_314	314	16S
bpRNA_CRW_315	315	16S
bpRNA_CRW_316	316	16S
bpRNA_CRW_317	317	16S
bpRNA_CRW_318	318	16S
bpRNA_CRW_319	319	16S
bpRNA_CRW_320	320	16S
bpRNA_CRW_321	321	16S
bpRNA_CRW_322	322	16S
bpRNA_CRW_323	323	16S
bpRNA_CRW_324	324	16S
bpRNA_CRW_325	325	16S
bpRNA_CRW_326	326	16S
bpRNA_CRW_327	327	16S
bpRNA_CRW_328	328	16S
bpRNA_CRW_329	329	16S
bpRNA_CRW_330	330	16S
bpRNA_CRW_331	331	16S
bpRNA_CRW_332	332	16S
bpRNA_CRW_333	333	16S
bpRNA_CRW_334	334	16S
bpRNA_CRW_335	335	16S
bpRNA_CRW_336	336	16S
bpRNA_CRW_337	337	16S
bpRNA_CRW_338	338	16S
bpRNA_CRW_339	339	16S
bpRNA_CRW_340	340	16S
bpRNA_CRW_341	341	16S
bpRNA_CRW_342	342	16S
bpRNA_CRW_343	343	16S
bpRNA_CRW_344	344	16S
bpRNA_CRW_345	345	16S
bpRNA_CRW_346	346	16S
bpRNA_CRW_347	347	16S
bpRNA_CRW_348	348	16S
bpRNA_CRW_349	349	16S
bpRNA_CRW_350	350	16S
bpRNA_CRW_351	351	16S
bpRNA_CRW_352	352	16S
bpRNA_CRW_353	353	16S
bpRNA_CRW_354	354	16S
bpRNA_CRW_355	355	16S
bpRNA_CRW_356	356	16S
bpRNA_CRW_357	357	16S
bpRNA_CRW_358	358	16S
bpRNA_CRW_359	359	16S
bpRNA_CRW_360	360	16S
bpRNA_CRW_361	361	16S
bpRNA_CRW_362	362	16S
bpRNA_CRW_363	363	16S
bpRNA_CRW_364	364	16S
bpRNA_CRW_365	365	16S
bpRNA_CRW_366	366	16S
bpRNA_CRW_367	367	16S
bpRNA_CRW_368	368	16S
bpRNA_CRW_369	369	16S
bpRNA_CRW_370	370	16S
bpRNA_CRW_371	371	16S
bpRNA_CRW_372	372	16S
bpRNA_CRW_373	373	16S
bpRNA_CRW_374	374	16S
bpRNA_CRW_375	375	16S
bpRNA_CRW_376	376	16S
bpRNA_CRW_377	377	16S
bpRNA_CRW_378	378	16S
bpRNA_CRW_379	379	16S
bpRNA_CRW_380	380	16S
bpRNA_CRW_381	381	16S
bpRNA_CRW_382	382	16S
bpRNA_CRW_383	383	16S
bpRNA_CRW_384	384	16S
bpRNA_CRW_385	385	16S
bpRNA_CRW_386	386	16S
bpRNA_CRW_387	387	16S
bpRNA_CRW_388	388	16S
bpRNA_CRW_389	389	16S
bpRNA_CRW_390	390	16S
bpRNA_CRW_391	391	16S
bpRNA_CRW_392	392	16S
bpRNA_CRW_393	393	16S
bpRNA_CRW_394	394	16S
bpRNA_CRW_395	395	16S
bpRNA_CRW_396	396	16S
bpRNA_CRW_397	397	16S
bpRNA_CRW_398	398	16S
bpRNA_CRW_399	399	16S
bpRNA_CRW_400	400	16S
bpRNA_CRW_401	401	16S
bpRNA_CRW_402	402	16S
bpRNA_CRW_403	403	16S
bpRNA_CRW_404	404	16S
bpRNA_CRW_405	405	16S
bpRNA_CRW_406	406	16S
bpRNA_CRW_407	407	16S
bpRNA_CRW_408	408	16S
bpRNA_CRW_409	409	16S
bpRNA_CRW_410	410	16S
bpRNA_CRW_411	411	16S
bpRNA_CRW_412	412	16S
bpRNA_CRW_413	413	16S
bpRNA_CRW_414	414	16S
bpRNA_CRW_415	415	16S
bpRNA_CRW_416	416	16S
bpRNA_CRW_417	417	16S
bpRNA_CRW_418	418	16S
bpRNA_CRW_419	419	16S
bpRNA_CRW_420	420	16S
bpRNA_CRW_421	421	16S
bpRNA_CRW_422	422	16S
bpRNA_CRW_423	423	16S
bpRNA_CRW_424	424	16S
bpRNA_CRW_425	425	16S
bpRNA_CRW_426	426	16S
bpRNA_CRW_427	427	16S
bpRNA_CRW_428	428	16S
bpRNA_CRW_429	429	16S
bpRNA_CRW_430	430	16S
bpRNA_CRW_431	431	16S
bpRNA_CRW_432	432	16S
bpRNA_CRW_433	433	16S
bpRNA_CRW_434	434	16S
bpRNA_CRW_435	435	16S
bpRNA_CRW_436	436	16S
bpRNA_CRW_437	437	16S
bpRNA_CRW_438	438	16S
bpRNA_CRW_439	439	16S
bpRNA_CRW_440	440	16S
bpRNA_CRW_441	441	16S
bpRNA_CRW_442	442	16S
bpRNA_CRW_443	443	16S
bpRNA_CRW_444	444	16S
bpRNA_CRW_445	445	16S
bpRNA_CRW_446	446	16S
bpRNA_CRW_447	447	16S
bpRNA_CRW_448	448	16S
bpRNA_CRW_449	449	16S
bpRNA_CRW_450	450	16S
bpRNA_CRW_451	451	16S
bpRNA_CRW_452	452	16S
bpRNA_CRW_453	453	16S
bpRNA_CRW_454	454	16S
bpRNA_CRW_455	455	16S
bpRNA_CRW_456	456	16S
bpRNA_CRW_457	457	16S
bpRNA_CRW_458	458	16S
bpRNA_CRW_459	459	16S
bpRNA_CRW_460	460	16S
bpRNA_CRW_461	461	16S
bpRNA_CRW_462	462	16S
bpRNA_CRW_463	463	16S
bpRNA_CRW_464	464	16S
bpRNA_CRW_465	465	16S
bpRNA_CRW_466	466	16S
bpRNA_CRW_467	467	16S
bpRNA_CRW_468	468	16S
bpRNA_CRW_469	469	16S
bpRNA_CRW_470	470	16S
bpRNA_CRW_471	471	16S
bpRNA_CRW_472	472	16S
bpRNA_CRW_473	473	16S
bpRNA_CRW_474	474	16S
bpRNA_CRW_475	475	16S
bpRNA_CRW_476	476	16S
bpRNA_CRW_477	477	16S
bpRNA_CRW_478	478	16S
bpRNA_CRW_479	479	16S
bpRNA_CRW_480	480	16S
bpRNA_CRW_481	481	16S
bpRNA_CRW_482	482	16S
bpRNA_CRW_483	483	16S
bpRNA_CRW_484	484	16S
bpRNA_CRW_485	485	16S
bpRNA_CRW_486	486	16S
bpRNA_CRW_487	487	16S
bpRNA_CRW_488	488	16S
bpRNA_CRW_489	489	16S
bpRNA_CRW_490	490	16S
bpRNA_CRW_491	491	16S
bpRNA_CRW_492	492	16S
bpRNA_CRW_493	493	16S
bpRNA_CRW_494	494	16S
bpRNA_CRW_495	495	16S
bpRNA_CRW_496	496	16S
bpRNA_CRW_497	497	16S
bpRNA_CRW_498	498	16S
bpRNA_CRW_499	499	16S
bpRNA_CRW_500	500	16S
bpRNA_CRW_501	501	16S
bpRNA_CRW_502	502	16S
bpRNA_CRW_503	503	16S
bpRNA_CRW_504	504	16S
bpRNA_CRW_505	505	16S
bpRNA_CRW_506	506	16S
bpRNA_CRW_507	507	16S
bpRNA_CRW_508	508	16S
bpRNA_CRW_509	509	16S
bpRNA_CRW_510	510	16S
bpRNA_CRW_511	511	16S
bpRNA_CRW_512	512	16S
bpRNA_CRW_513	513	16S
bpRNA_CRW_514	514	16S
bpRNA_CRW_515	515	16S
bpRNA_CRW_516	516	16S
bpRNA_CRW_517	517	16S
bpRNA_CRW_518	518	16S
bpRNA_CRW_519	519	16S
bpRNA_CRW_520	520	16S
bpRNA_CRW_521	521	16S
bpRNA_CRW_522	522	16S
bpRNA_CRW_523	523	16S
bpRNA_CRW_524	524	16S
bpRNA_CRW_525	525	16S
bpRNA_CRW_526	526	16S
bpRNA_CRW_527	527	16S
bpRNA_CRW_528	528	16S
bpRNA_CRW_529	529	16S
bpRNA_CRW_530	530	16S
bpRNA_CRW_531	531	16S
bpRNA_CRW_532	532	16S
bpRNA_CRW_533	533	16S
bpRNA_CRW_534	534	16S
bpRNA_CRW_535	535	16S
bpRNA_CRW_536	536	16S
bpRNA_CRW_537	537	16S
bpRNA_CRW_538	538	16S
bpRNA_CRW_539	539	16S
bpRNA_CRW_540	540	16S
bpRNA_CRW_541	541	16S
bpRNA_CRW_542	542	16S
bpRNA_CRW_543	543	16S
bpRNA_CRW_544	544	16S
bpRNA_CRW_545	545	16S
bpRNA_CRW_546	546	16S
bpRNA_CRW_547	547	16S
bpRNA_CRW_548	548	16S
bpRNA_CRW_549	549	16S
bpRNA_CRW_550	550	16S
bpRNA_CRW_551	551	16S
bpRNA_CRW_552	552	16S
bpRNA_CRW_553	553	16S
bpRNA_CRW_554	554	16S
bpRNA_CRW_555	555	16S
bpRNA_CRW_556	556	16S
bpRNA_CRW_557	557	16S
bpRNA_CRW_558	558	16S
bpRNA_CRW_559	559	16S
bpRNA_CRW_560	560	16S
bpRNA_CRW_561	561	16S
bpRNA_CRW_562	562	16S
bpRNA_CRW_563	563	16S
bpRNA_CRW_564	564	16S
bpRNA_CRW_565	565	16S
bpRNA_CRW_566	566	16S
bpRNA_CRW_567	567	16S
bpRNA_CRW_568	568	16S
bpRNA_CRW_569	569	16S
bpRNA_CRW_570	570	16S
bpRNA_CRW_571	571	16S
bpRNA_CRW_572	572	16S
bpRNA_CRW_573	573	16S
bpRNA_CRW_574	574	16S
bpRNA_CRW_575	575	16S
bpRNA_CRW_576	576	16S
bpRNA_CRW_577	577	16S
bpRNA_CRW_578	578	16S
bpRNA_CRW_579	579	16S
bpRNA_CRW_580	580	16S
bpRNA_CRW_581	581	16S
bpRNA_CRW_582	582	16S
bpRNA_CRW_583	583	16S
bpRNA_CRW_584	584	16S
bpRNA_CRW_585	585	16S
bpRNA_CRW_586	586	16S
bpRNA_CRW_587	587	16S
bpRNA_CRW_588	588	16S
bpRNA_CRW_589	589	16S
bpRNA_CRW_590	590	16S
bpRNA_CRW_591	591	16S
bpRNA_CRW_592	592	16S
bpRNA_CRW_593	593	16S
bpRNA_CRW_594	594	16S
bpRNA_CRW_595	595	16S
bpRNA_CRW_596	596	16S
bpRNA_CRW_597	597	16S
bpRNA_CRW_598	598	16S
bpRNA_CRW_599	599	16S
bpRNA_CRW_600	600	16S
bpRNA_CRW_601	601	16S
bpRNA_CRW_602	602	16S
bpRNA_CRW_603	603	16S
bpRNA_CRW_604	604	16S
bpRNA_CRW_605	605	16S
bpRNA_CRW_606	606	16S
bpRNA_CRW_607	607	16S
bpRNA_CRW_608	608	16S
bpRNA_CRW_609	609	16S
bpRNA_CRW_610	610	16S
bpRNA_CRW_611	611	16S
bpRNA_CRW_612	612	16S
bpRNA_CRW_613	613	16S
bpRNA_CRW_614	614	16S
bpRNA_CRW_615	615	16S
bpRNA_CRW_616	616	16S
bpRNA_CRW_617	617	16S
bpRNA_CRW_618	618	16S
bpRNA_CRW_619	619	16S
bpRNA_CRW_620	620	16S
bpRNA_CRW_621	621	16S
bpRNA_CRW_622	622	16S
bpRNA_CRW_623	623	16S
bpRNA_CRW_624	624	16S
bpRNA_CRW_625	625	16S
bpRNA_CRW_626	626	16S
bpRNA_CRW_627	627	16S
bpRNA_CRW_628	628	16S
bpRNA_CRW_629	629	16S
bpRNA_CRW_630	630	16S
bpRNA_CRW_631	631	16S
bpRNA_CRW_632	632	16S
bpRNA_CRW_633	633	16S
bpRNA_CRW_634	634	16S
bpRNA_CRW_635	635	16S
bpRNA_CRW_636	636	16S
bpRNA_CRW_637	637	16S
bpRNA_CRW_638	638	16S
bpRNA_CRW_639	639	16S
bpRNA_CRW_640	640	16S
bpRNA_CRW_641	641	16S
bpRNA_CRW_642	642	16S
bpRNA_CRW_643	643	16S
bpRNA_CRW_644	644	16S
bpRNA_CRW_645	645	16S
bpRNA_CRW_646	646	16S
bpRNA_CRW_647	647	16S
bpRNA_CRW_648	648	16S
bpRNA_CRW_649	649	16S
bpRNA_CRW_650	650	16S
bpRNA_CRW_651	651	16S
bpRNA_CRW_652	652	16S
bpRNA_CRW_653	653	16S
bpRNA_CRW_654	654	16S
bpRNA_CRW_655	655	16S
bpRNA_CRW_656	656	16S
bpRNA_CRW_657	657	16S
bpRNA_CRW_658	658	16S
bpRNA_CRW_659	659	16S
bpRNA_CRW_660	660	16S
bpRNA_CRW_661	661	16S
bpRNA_CRW_662	662	16S
bpRNA_CRW_663	663	16S
bpRNA_CRW_664	664	16S
bpRNA_CRW_665	665	16S
bpRNA_CRW_666	666	16S
bpRNA_CRW_667	667	16S
bpRNA_CRW_668	668	16S
bpRNA_CRW_669	669	16S
bpRNA_CRW_670	670	16S
bpRNA_CRW_671	671	16S
bpRNA_CRW_672	672	16S
bpRNA_CRW_673	673	16S
bpRNA_CRW_674	674	16S
bpRNA_CRW_675	675	16S
bpRNA_CRW_676	676	16S
bpRNA_CRW_677	677	16S
bpRNA_CRW_678	678	16S
bpRNA_CRW_679	679	16S
bpRNA_CRW_680	680	16S
bpRNA_CRW_681	681	16S
bpRNA_CRW_682	682	16S
bpRNA_CRW_683	683	16S
bpRNA_CRW_684	684	16S
bpRNA_CRW_685	685	16S
bpRNA_CRW_686	686	16S
bpRNA_CRW_687	687	16S
bpRNA_CRW_688	688	16S
bpRNA_CRW_689	689	16S
bpRNA_CRW_690	690	16S
bpRNA_CRW_691	691	16S
bpRNA_CRW_692	692	16S
bpRNA_CRW_693	693	16S
bpRNA_CRW_694	694	16S
bpRNA_CRW_695	695	16S
bpRNA_CRW_696	696	16S
bpRNA_CRW_697	697	16S
bpRNA_CRW_698	698	16S
bpRNA_CRW_699	699	16S
bpRNA_CRW_700	700	16S
bpRNA_CRW_701	701	16S
bpRNA_CRW_702	702	16S
bpRNA_CRW_703	703	16S
bpRNA_CRW_704	704	16S
bpRNA_CRW_705	705	16S
bpRNA_CRW_706	706	16S
bpRNA_CRW_707	707	16S
bpRNA_CRW_708	708	16S
bpRNA_CRW_709	709	16S
bpRNA_CRW_710	710	16S
bpRNA_CRW_711	711	16S
bpRNA_CRW_712	712	16S
bpRNA_CRW_713	713	16S
bpRNA_CRW_714	714	16S
bpRNA_CRW_715	715	16S
bpRNA_CRW_716	716	16S
bpRNA_CRW_717	717	16S
bpRNA_CRW_718	718	16S
bpRNA_CRW_719	719	16S
bpRNA_CRW_720	720	16S
bpRNA_CRW_721	721	16S
bpRNA_CRW_722	722	16S
bpRNA_CRW_723	723	16S
bpRNA_CRW_724	724	16S
bpRNA_CRW_725	725	16S
bpRNA_CRW_726	726	16S
bpRNA_CRW_727	727	16S
bpRNA_CRW_728	728	16S
bpRNA_CRW_729	729	16S
bpRNA_CRW_730	730	16S
bpRNA_CRW_731	731	16S
bpRNA_CRW_732	732	16S
bpRNA_CRW_733	733	16S
bpRNA_CRW_734	734	16S
bpRNA_CRW_735	735	16S
bpRNA_CRW_736	736	16S
bpRNA_CRW_737	737	16S
bpRNA_CRW_738	738	16S
bpRNA_CRW_739	739	16S
bpRNA_CRW_740	740	16S
bpRNA_CRW_741	741	16S
bpRNA_CRW_742	742	16S
bpRNA_CRW_743	743	16S
bpRNA_CRW_744	744	16S
bpRNA_CRW_745	745	16S
bpRNA_CRW_746	746	16S
bpRNA_CRW_747	747	16S
bpRNA_CRW_748	748	16S
bpRNA_CRW_749	749	16S
bpRNA_CRW_750	750	16S
bpRNA_CRW_751	751	16S
bpRNA_CRW_752	752	16S
bpRNA_CRW_753	753	16S
bpRNA_CRW_754	754	16S
bpRNA_CRW_755	755	16S
bpRNA_CRW_756	756	16S
bpRNA_CRW_757	757	16S
bpRNA_CRW_758	758	16S
bpRNA_CRW_759	759	16S
bpRNA_CRW_760	760	16S
bpRNA_CRW_761	761	16S
bpRNA_CRW_762	762	16S
bpRNA_CRW_763	763	16S
bpRNA_CRW_764	764	16S
bpRNA_CRW_765	765	16S
bpRNA_CRW_766	766	16S
bpRNA_CRW_767	767	16S
bpRNA_CRW_768	768	16S
bpRNA_CRW_769	769	16S
bpRNA_CRW_770	770	16S
bpRNA_CRW_771	771	16S
bpRNA_CRW_772	772	16S
bpRNA_CRW_773	773	16S
bpRNA_CRW_774	774	16S
bpRNA_CRW_775	775	16S
bpRNA_CRW_776	776	16S
bpRNA_CRW_777	777	16S
bpRNA_CRW_778	778	16S
bpRNA_CRW_779	779	16S
bpRNA_CRW_780	780	16S
bpRNA_CRW_781	781	16S
bpRNA_CRW_782	782	16S
bpRNA_CRW_783	783	16S
bpRNA_CRW_784	784	16S
bpRNA_CRW_785	785	16S
bpRNA_CRW_786	786	16S
bpRNA_CRW_787	787	16S
bpRNA_CRW_788	788	16S
bpRNA_CRW_789	789	16S
bpRNA_CRW_790	790	16S
bpRNA_CRW_791	791	16S
bpRNA_CRW_792	792	16S
bpRNA_CRW_793	793	16S
bpRNA_CRW_794	794	16S
bpRNA_CRW_795	795	16S
bpRNA_CRW_796	796	16S
bpRNA_CRW_797	797	16S
bpRNA_CRW_798	798	16S
bpRNA_CRW_799	799	16S
bpRNA_CRW_800	800	16S
bpRNA_CRW_801	801	16S
bpRNA_CRW_802	802	16S
bpRNA_CRW_803	803	16S
bpRNA_CRW_804	804	16S
bpRNA_CRW_805	805	16S
bpRNA_CRW_806	806	16S
bpRNA_CRW_807	807	16S
bpRNA_CRW_808	808	16S
bpRNA_CRW_809	809	16S
bpRNA_CRW_810	810	16S
bpRNA_CRW_811	811	16S
bpRNA_CRW_812	812	16S
bpRNA_CRW_813	813	16S
bpRNA_CRW_814	814	16S
bpRNA_CRW_815	815	16S
bpRNA_CRW_816	816	16S
bpRNA_CRW_817	817	16S
bpRNA_CRW_818	818	16S
bpRNA_CRW_819	819	16S
bpRNA_CRW_820	820	16S
bpRNA_CRW_821	821	16S
bpRNA_CRW_822	822	16S
